scorer,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310
bodyparts,toe,toe,toe,MTP,MTP,MTP,ankle,ankle,ankle,knee,knee,knee,hip,hip,hip,iliac_crest,iliac_crest,iliac_crest
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
60,1806.9011,181.02411,0.047484223,1788.6901,162.87386,0.15380092,1778.7052,141.10579,0.3325277,1835.2534,170.10985,0.262562,1824.3274,110.88477,0.5822789,1854.6615,100.9859,0.21810882
61,1783.8601,145.65118,0.025710402,1788.5371,161.2133,0.09595853,1779.3503,141.41301,0.2940916,1834.7148,170.4028,0.25339392,1822.2776,113.65594,0.5427662,1853.2577,101.21549,0.22750975
62,1791.5994,170.84865,0.023867538,1786.8674,153.76157,0.08219635,1779.4298,141.84532,0.30141565,1843.0107,173.43228,0.19810455,1822.7216,113.75872,0.5793763,1855.7242,107.66935,0.19813506
63,1784.1438,145.58972,0.025948837,1786.587,153.0589,0.0792486,1779.5745,141.20679,0.28879505,1849.1963,156.487,0.13655846,1822.7805,111.63463,0.5611692,1850.3983,100.04955,0.19437753
64,1790.6642,170.96982,0.031625606,1787.1605,161.09216,0.11915776,1779.2782,140.45645,0.24638997,1827.7518,161.45831,0.10459963,1822.1605,110.27837,0.56690097,1849.4796,99.63812,0.21340574
65,1783.4481,145.95451,0.036566798,1788.162,161.28926,0.105488256,1778.6915,140.52473,0.25999245,1827.732,163.22046,0.15138097,1821.9592,109.66071,0.6150557,1849.1737,99.606964,0.21857363
66,1806.8059,181.68364,0.044946052,1787.9645,161.4162,0.16427074,1777.8081,140.07944,0.3581864,1826.9904,163.71446,0.19428256,1823.7892,111.037636,0.6008208,1854.3301,100.49906,0.17683427
67,1807.4414,179.11461,0.061148707,1789.0864,161.52544,0.15221794,1777.3811,140.0188,0.45883942,1825.9221,165.3384,0.24838845,1826.597,113.71895,0.40759996,1854.7441,100.24161,0.14214599
68,1806.0331,181.88905,0.056414388,1787.6335,162.65219,0.22001731,1776.0275,139.5109,0.4987732,1827.3942,163.1669,0.17619632,1824.0894,108.64044,0.5024442,1854.8667,99.29868,0.17128843
69,1790.4093,172.23988,0.06078143,1786.6417,162.58028,0.20422903,1777.3928,139.68974,0.3329225,1828.576,162.33842,0.18146132,1822.879,108.26566,0.667908,1850.3633,99.5146,0.21565808
70,1784.3339,170.40875,0.0389311,1787.2692,161.7391,0.13748148,1778.5732,139.49591,0.3027558,1826.8628,163.6212,0.13492036,1820.8993,119.17069,0.43124786,1851.0001,99.01265,0.11457849
